Text	IsNews	IsFake
Biden's Vaccine Mandate is a Plot to Enslave Americans and Inject Them with Microchips	1	1
QAnon Reveals the Truth About the Satanic Pedophile Cabal that Rules the World	1	1
Covid-19 was Engineered in a Chinese Lab as a Bioweapon to Destroy the West	1	1
The 2020 Election was Stolen by Massive Voter Fraud and Dominion Voting Machines	1	1
Bill Gates is Behind the Global Depopulation Agenda and Wants to Control Your Mind with 5G	1	1
Climate Change is a Hoax Perpetrated by the UN and Soros to Impose a One-World Government	1	1
Hillary Clinton Ordered the Murder of Seth Rich and Thousands of Other Enemies	1	1
The Earth is Flat and NASA is Lying to You About Space Exploration	1	1
Vaccines Cause Autism, Cancer, and Infertility and are Part of a Big Pharma Conspiracy	1	1
Obama is a Muslim Born in Kenya who Tried to Destroy America from Within	1	1
Trump Won the Election by a Landslide and Will Return as President on March 4th	1	1
The Holocaust Never Happened and Jews are Secretly Running the World	1	1
Chemtrails are Spraying Toxic Chemicals into the Air to Manipulate Weather and Human Behavior	1	1
JFK Jr Faked His Death and is Working with Trump to Expose the Deep State	1	1
Aliens are Visiting Earth and Abducting People for Experiments	1	1
The Illuminati, Freemasons, Jesuits, Skull & Bones, Bilderberg Group, etc., are All Part of an Ancient Secret Society that Controls Everything	1	1
Covid-19 Vaccines Alter Your DNA and Make You Susceptible to Alien Invasion	1	1
Pizzagate: How Elite Pedophiles Use Code Words for Child Abuse in Emails	1	1
Fluoride in Water is a Mind-Control Agent that Lowers IQ	1	1
Denver Airport Conceals an Underground Bunker for the New World Order	1	1
Sandy Hook Shooting was Staged by Crisis Actors to Push Gun Control	1	1
Princess Diana was Assassinated by MI6 on Orders from Queen Elizabeth II	1	1
The Moon Landing was Faked by Hollywood on a Soundstage	1	1
Antifa Infiltrated Capitol Rioters on January 6th to Frame Trump Supporters	1	1
HAARP Facility in Alaska can Trigger Earthquakes, Volcanoes, Tsunamis, and Hurricanes	1	1
Marilyn Monroe was Killed by CIA because She Knew Too Much about JFK's Affairs	1	1
Lizard People Shape-shift into Human Form and Infiltrate Positions of Power	1	1
9/11 was an Inside Job by the Bush Administration and Mossad to Justify War on Terror	1	1
The Titanic was Sunk on Purpose to Eliminate Opponents of the Federal Reserve	1	1
Bigfoot, Loch Ness Monster, Chupacabra, etc., are Real and Hiding from Humans	1	1
Covid-19 Tests are Used to Collect Your DNA for Surveillance and Cloning	1	1
Barack Obama is the Antichrist who Will Usher in the End Times	1	1
MK-Ultra: How CIA Experimented with Mind Control, Drugs, Hypnosis, and Torture on Unsuspecting Victims	1	1
Hillary Clinton has a Body Double who Replaced Her after She Collapsed in 2016	1	1
Vladimir Putin has a Secret Son who is a Billionaire Tech Genius	1	1
The Coronavirus Pandemic was Predicted by The Simpsons, Nostradamus, and Bill Gates	1	1
Area 51 Houses Alien Technology and Bodies Recovered from Roswell Crash	1	1
Jesus Christ was Married to Mary Magdalene and Had Children who Became the Merovingian Dynasty	1	1
The Bermuda Triangle is a Portal to Another Dimension or Planet where Ships and Planes Disappear	1	1
Elvis Presley Faked His Death and Lived Undercover until 2019	1	1
Scientists discover new coral species in the Great Barrier Reef	1	0
Nobel Peace Prize awarded to journalists who exposed human rights abuses	1	0
World's first malaria vaccine rolled out in Africa, saving millions of lives	1	0
Solar-powered plane completes round-the-world flight without fossil fuels	1	0
Breakthrough gene therapy cures rare form of blindness	1	0
Historic peace deal signed between Sudan and rebel groups, ending decades of conflict	1	0
New Zealand becomes the first country to declare a climate emergency and pledge carbon neutrality by 2025	1	0
Giant panda no longer endangered thanks to conservation efforts, says China	1	0
India launches its first-ever lunar lander and rover, exploring the moon's south pole	1	0
Teenager invents device that detects early signs of Alzheimer's disease using artificial intelligence	1	0
Colombia grants legal status to 1.7 million Venezuelan migrants, offering them access to health care and education	1	0
First female president elected in Tanzania, promising reforms and anti-corruption measures	1	0
UK approves world's first Covid-19 vaccine for mass use, starting immunization program next week	1	0
